cliente_key,nome,genero,data_nascimento,cidade,estado,data_cadastro,dw_record_hash,dw_valid_from,dw_valid_to,dw_is_current,cliente_sk,_gold_airflow_run_id,_gold_processed_at
689,Rafaela Mendes,Outro,1960-01-31,da Conceição de Pinto,SE,2023-04-29,bf6cd6f8a5e627830c0e79437f827ef7bd03dc12166511dfdb670981909bb369,1900-01-01,9999-12-31 23:59:59,True,7a138327a647d33f951c975b7e5d7bdaa4fef831207c8fdcbe36d22de67d9fca,manual_run_1,2026-06-24 00:59:33.548
14065,Ágatha Nunes,M,1981-10-15,Teixeira do Galho,PB,2024-04-11,627870daa0470ab459c690e135a81a521a0221c16b4f54386eb60d6faaeef57f,1900-01-01,9999-12-31 23:59:59,True,8c08bccbe80fe760580f64ea8973caf2a246c4b00ac15cfdbbeea0621b25ecc6,manual_run_1,2026-06-24 00:59:33.548
1866,Dom Pacheco,Outro,2006-07-22,da Paz,SP,2023-10-12,a075082e745ef2e28a887974bd0d73cb8234786e48b9ec2f1ea152e93d1872d3,1900-01-01,9999-12-31 23:59:59,True,cecf5964bddb977474676039cd79c3a493b2eab3ae51a7172f9ab7a0497f21bc,manual_run_1,2026-06-24 00:59:33.548
11249,Liz Nogueira,F,1982-03-06,Pacheco do Oeste,PB,2025-06-07,e3d084101bf808e38f79370d24d9affc11477c5640c4e9528f09580614d68cac,1900-01-01,9999-12-31 23:59:59,True,47efa51fdeee774b44f189a96bf46df4e098bdc687926b8f1e058a39d60fd61f,manual_run_1,2026-06-24 00:59:33.548
8263,Srta. Maria Vitória Camargo,M,1988-01-08,Abreu de Silva,DF,2024-05-18,d3ecf700c0665ec1bbc199ae0d0f514c5f2acf9fdc4b4f9652e350f3892da9e6,1900-01-01,9999-12-31 23:59:59,True,c3baed9f99730bcd0df7df2916918b09b5203294a6f15ebfc1deffb54f96dab5,manual_run_1,2026-06-24 00:59:33.548
9429,Breno Albuquerque,M,1961-11-25,Sá de Marques,AM,2023-07-24,9512b0db72f5bb9de7fa0f278406deb93ffb9a3bc830492c6e2b3840b4b0215c,1900-01-01,9999-12-31 23:59:59,True,1a164cf757031b70372b9f99b052fc178106e547ae4142bc45e57604ad12a43f,manual_run_1,2026-06-24 00:59:33.548
13114,Kevin Aparecida,F,1980-04-16,Ferreira da Serra,RJ,2023-06-05,a188a71ebee7777c8d838661ff9da88ac36edd1274a12557fcd0556cb3cf035c,1900-01-01,9999-12-31 23:59:59,True,7d89d67c15130bbd748c7004bee52e680325ec85a49a6ce24edfbc3d1821b1a0,manual_run_1,2026-06-24 00:59:33.548
306,Vitor Hugo Ramos,F,1950-08-27,Abreu de Duarte,CE,2023-07-21,dd64b9fc346e623c16b8d21c0c12d3029f60276111c2e98262efdb9ca76b5b77,1900-01-01,9999-12-31 23:59:59,True,9a6ac29c02b28785e5709ef73c481dd7d60a20b392e113cd9ad1820a60dfa50b,manual_run_1,2026-06-24 00:59:33.548
2458,Brenda Vargas,F,2000-12-04,Pimenta,MS,2023-12-17,7486e91e32247d58105d8bc1a8ab7edc53154e269c95f7a08f3e49747eb7a267,1900-01-01,9999-12-31 23:59:59,True,a4445198e5e549227d8abae1ed522cf3119a0ecb0cb35d6bfda374fc0ad10bd1,manual_run_1,2026-06-24 00:59:33.548
6327,Mateus das Neves,Outro,2001-11-17,Oliveira de Machado,RS,2023-01-31,67f8ff9acb01a8bfb084cc8ed81859d6edd6293b3a6a00abfb1a4f9e942770ea,1900-01-01,9999-12-31 23:59:59,True,e5443de0f4347d14ce7db09a1b955f0e3fc2d1075bccc12556cca38debc13105,manual_run_1,2026-06-24 00:59:33.548
182,Benjamin Barros,F,2005-04-23,Cunha,GO,2025-02-15,29b480dfa1f65b38b88696aa87bb1ad9b5ca5c63c83d72488580161298cc547d,1900-01-01,9999-12-31 23:59:59,True,c217b429f60a8b9491c79b1f70551bcd4cac27291ef379e473bdacfae8f949e5,manual_run_1,2026-06-24 00:59:33.548
3175,Caroline Moraes,Outro,1977-09-09,da Cunha do Sul,TO,2023-06-07,7b0b477f48ae0ee568213878c70a3292d85ca70800d2b78a723ba197b42bfccd,1900-01-01,9999-12-31 23:59:59,True,cff63206af5b43fbe2a1e78e03871cae0874bfa59922dae9f7081fd57440648b,manual_run_1,2026-06-24 00:59:33.548
12715,Benjamim Barbosa,F,1951-07-30,Cunha,GO,2024-09-15,1440c1fb6428e6e0811b0a5a554f93265ec12eed9619d1c8903ad0210aec3349,1900-01-01,9999-12-31 23:59:59,True,3e2a39e807c5274b16e016f5f63108c491e175e11f8ee731182c3e4146d4fae9,manual_run_1,2026-06-24 00:59:33.548
6484,Brenda Peixoto,M,1961-07-17,Marques,MG,2023-08-20,3c94b4dcdbeb58e0a77cd9d5024c1980a40fab2abc0a7c982f0ebf515d3f8584,1900-01-01,9999-12-31 23:59:59,True,1f2eb2a9026b5d0cb525433605be4b57f4e7c68dcc30d7212229a91a7edaba68,manual_run_1,2026-06-24 00:59:33.548
516,Isis Sales,Outro,1960-08-27,Correia do Oeste,SP,2023-10-04,26f17a400acf43e8c28e6e212f7f7ce680803e35c82dff7deed8480d18dd7f11,1900-01-01,9999-12-31 23:59:59,True,edb6d7ea0cc6bf67424b558f9abcdaecda8ad5fa7712a6a2eb152bb297240d7a,manual_run_1,2026-06-24 00:59:33.548
8837,Alexandre Rodrigues,F,1954-03-25,Moreira,TO,2024-07-04,435c6025134e4a1ea84008aa9ab91dcdfaf7bbdcb43d676413eaa147a1ce0da9,1900-01-01,9999-12-31 23:59:59,True,7d22cdda818967a11689537af0fa2dc99f0cbf86b46203f7ec15800ff5507490,manual_run_1,2026-06-24 00:59:33.548
13809,Joana Pires,Outro,1951-11-27,Borges,RR,2024-01-14,26e52e830fed9cc1a80984947b22b7558502a7a61f01bd69c7b7d0e9951acf12,1900-01-01,9999-12-31 23:59:59,True,67599a528e6ae989e92b42e3589a65336280f20ee3b9a96447a6235155251246,manual_run_1,2026-06-24 00:59:33.548
1265,Maitê Freitas,F,1995-07-21,Siqueira da Praia,RN,2025-04-18,d24dda58231c1a97a59700fda527f32cf809b26991c41d8ec9973a109368857d,1900-01-01,9999-12-31 23:59:59,True,7b61cf3374b076573fb58b2a5a357909f20314535aa68d6e6f47056a1871d1a1,manual_run_1,2026-06-24 00:59:33.548
4144,Luiz Gustavo Costa,F,1995-03-01,Porto,ES,2026-02-24,50351326c64b58df666696edf40fea9bd42c706d10aabbd4f92ac4216f45e907,1900-01-01,9999-12-31 23:59:59,True,81da8c5b7c8778827efa1cf79c76d335d4f6c0db2b46456d5faa5547d986f911,manual_run_1,2026-06-24 00:59:33.548
5384,Bruna Novais,Outro,1995-08-31,Duarte,BA,2024-06-30,a39220e88e5e53f58ee120f21dcc11bd09b1028474fb255d6316a8bfecae2753,1900-01-01,9999-12-31 23:59:59,True,76323ae575eb89b2e07b7e42f30d11238d09e303868d24f8d1321de586a3bc70,manual_run_1,2026-06-24 00:59:33.548
9431,Isaac Vasconcelos,F,1997-01-11,Sampaio de da Cruz,RN,2026-03-04,3e86c27774ba16a0729a8415fa72b5d5b85907f3702cb1b1e78e52133ba449fd,1900-01-01,9999-12-31 23:59:59,True,a422e89dcd607014558a3ce58f5ecdebc089f93eeaa24cc280c4ddf524c300b9,manual_run_1,2026-06-24 00:59:33.548
3084,Anthony Gabriel Vasconcelos,F,1950-12-02,Silva do Norte,AP,2023-08-29,34698ca18e13b279634dff4466043bc57fdcf2aed30f39e97fa0684f13fcf65b,1900-01-01,9999-12-31 23:59:59,True,690841212ac5abb283d3efc814c2b2636c6f3e9a48c9e882c2158ab3f585000c,manual_run_1,2026-06-24 00:59:33.548
5024,Juan Casa Grande,Outro,1957-10-17,Montenegro de da Cruz,SP,2026-01-25,3f17d4b6561f756caeccb89179193c21167d2782962edef851d9b3c179b8ca46,1900-01-01,9999-12-31 23:59:59,True,3a2e729a66f79397d479cc6002d0b5166483df65f4d364a8db9aa369caea419d,manual_run_1,2026-06-24 00:59:33.548
12734,Sara Aragão,Outro,1983-06-16,Borges,AM,2025-05-19,9ebcebd2c38fcde95240e0193b516d10634db264eb9b3923a8603dc78f588482,1900-01-01,9999-12-31 23:59:59,True,7f78051b91cba6e4868eac7f8732c7d95ea311359f4ad952735ac08f96633dbb,manual_run_1,2026-06-24 00:59:33.548
10579,Cauã Pires,M,1978-02-19,Moura,RR,2025-10-02,63d61654c4e200ce32e056adb7c58ebeb162d4671f808726880a1730decdbc4f,1900-01-01,9999-12-31 23:59:59,True,6032f2263c2607713796055e50af0b72e17334303cdd883dc2eec12618a7bc01,manual_run_1,2026-06-24 00:59:33.548
3134,Srta. Stephany Campos,Outro,1955-01-20,Vasconcelos Verde,MA,2023-04-02,8222d881965b55a1d94db7883303463cc5b6a4a8a033325f28e28660cb10451e,1900-01-01,9999-12-31 23:59:59,True,2d3f95886826fe4cfb5c280598efa6182329f2f12c202ad63ad6cc0cbf7d7e4b,manual_run_1,2026-06-24 00:59:33.548
10668,Marina Sales,M,1996-11-26,Machado,RJ,2025-03-03,41b598f88d66c2b9d5a27d9e7af79042650f8ae438ce0a5a027d23a8321e8e8b,1900-01-01,9999-12-31 23:59:59,True,02f328681f8b49ee56df8fcdba91491ecb7f4062da9266da7bd811a58b4babe1,manual_run_1,2026-06-24 00:59:33.548
10487,Eloah Pastor,M,2006-03-01,Lima,RS,2025-11-20,e3bc405ea0d99d96a29edd1b400d39dcd01990fcf95efb208adc6f89fb846338,1900-01-01,9999-12-31 23:59:59,True,0a6a7a5d9a84062b9bc2c20e3c3bbef6a4ecdc44473d343f30f5191e6b2d9d01,manual_run_1,2026-06-24 00:59:33.548
829,Lunna Rocha,M,1969-03-11,Andrade de Albuquerque,AM,2025-05-31,9df974ba0a19e45b40e59798d6620ddf513da4f5d4db3fa16ec804ee70c941a3,1900-01-01,9999-12-31 23:59:59,True,238b5607f517c32d3cd3da93c2c3ae8d8d56711fa604e8a20f88daa496482849,manual_run_1,2026-06-24 00:59:33.548
3974,Erick Brito,F,1982-03-31,Carvalho,MS,2025-10-07,d57504686d70e9560e7842cc6ca6a07ddabca5a20b173355382ce2ede9164e4e,1900-01-01,9999-12-31 23:59:59,True,80060c8658411d37b240ab68b30059f411cd5a62c100b0e428f38430be74eb80,manual_run_1,2026-06-24 00:59:33.548
6869,Theo Aparecida,F,2001-06-22,Rezende,MT,2023-09-03,20d1e3bef9ba510d4150a6490879304dc0b04d4a7711c949dbb4ab43a8663f9d,1900-01-01,9999-12-31 23:59:59,True,a79ed97323a7b2c800dfdca663d8763105e00ccead8bf2efa3ab4ec4265fff39,manual_run_1,2026-06-24 00:59:33.548
14526,Mirella Alves,M,1983-11-28,Guerra Alegre,RO,2024-11-18,96ad35a8377fb3290f4e7d0b2f8f4992fe43b18556e86c273cece99b3f0c9df7,1900-01-01,9999-12-31 23:59:59,True,c17dbcf1dc09e9e8a1c82de25f3e1709f60a263eac0b2e9acf38b688d9652588,manual_run_1,2026-06-24 00:59:33.548
9797,Arthur Albuquerque,F,1953-10-22,da Costa,AC,2023-04-05,237b084c1443660e91c517904d8d5c9407c54dd6e5352e5b3f28f0a6ecf942e0,1900-01-01,9999-12-31 23:59:59,True,91faafedd812867855c180b837f81a3a109acf466ff2d11168d778b83842dfd4,manual_run_1,2026-06-24 00:59:33.548
2121,Eduarda Alves,M,1972-08-12,Alves,MA,2023-06-26,8d1fa9433838f2f8e2ed9007da5ea507c3b901c58aa5090f38d7151ae2942c79,1900-01-01,9999-12-31 23:59:59,True,12f9583d3e20ec235ae05265b442b13327677884b60c958d1243b41b1cf2148c,manual_run_1,2026-06-24 00:59:33.548
4112,Vinicius Novais,M,1967-10-09,Costela das Pedras,SP,2026-01-08,235c8efb2139b372df7c0537858bc9736b9de72328f7e46b21463ca09cea3e64,1900-01-01,9999-12-31 23:59:59,True,270fa5b154ad617f2e3ec98a12559a78e413598aa33797c1cc573df3bb56af86,manual_run_1,2026-06-24 00:59:33.548
7685,Ester Fonseca,M,1962-04-23,Viana,DF,2023-02-27,5157613344b3f0941314d68a397f4b89e98c7f218c9af0baf1dc6767d15c8a9c,1900-01-01,9999-12-31 23:59:59,True,14598aaceeffd13961e8469d96d02c999e1d968762467e7fee99508d4e9d762c,manual_run_1,2026-06-24 00:59:33.548
3654,Brayan Pires,F,1954-09-27,Machado,AL,2023-03-05,89b4c6d5418b0906cf3c0ea041e8487379dbf3736d530826f37b3df38b32cb32,1900-01-01,9999-12-31 23:59:59,True,f45cc15e6e1a848d045142715c3e326d6eff3067845301a632418b4091ebe21f,manual_run_1,2026-06-24 00:59:33.548
12212,Maria Pimenta,Outro,1999-02-05,Barros,MS,2023-02-22,825db679fe2e392f7915c593476c3809558524db5f74b30040be003fb5e75b55,1900-01-01,9999-12-31 23:59:59,True,19473bb59c2f2285c3d1de22a662273a37e953753faf73c704bd74443249b783,manual_run_1,2026-06-24 00:59:33.548
2579,Heloisa da Mata,Outro,1956-03-02,Dias,RR,2023-02-10,b07b4a0a1cf989209119e5672c321279354c193858a18dc609d18b491ab30800,1900-01-01,9999-12-31 23:59:59,True,9c75d4d58bcc37aeb8ed9f005d139cc2d41a9597d532d2c48d9b18dec8c44a06,manual_run_1,2026-06-24 00:59:33.548
3218,Nathan Casa Grande,M,1981-09-03,Rezende,DF,2023-03-23,b53bad60c4465caf933f498fe2cd47dc4cc1f1b72a9b0e0e6debee1b2f913a2c,1900-01-01,9999-12-31 23:59:59,True,82faa1718ede4d1134f0e6d51bbf1b8d59e944840abb9de4ebe1c2dd9a2d9a6e,manual_run_1,2026-06-24 00:59:33.548
4056,Vitória Santos,F,1956-03-31,Santos da Prata,RR,2024-06-16,247d6b6a3040e409c81aae9a3007c056d3494ceafcbfa18689ba7f294db068b8,1900-01-01,9999-12-31 23:59:59,True,1a7a995046649be34a1ca85c56a6b4169d868b8f1a188d596645966c8e657df0,manual_run_1,2026-06-24 00:59:33.548
11661,Dr. Benício Lopes,F,2007-04-14,Nascimento,PE,2023-09-30,48e9cbf9aced26ad5e309680c69fb3e1138b381e51f982c0461dad7055c30e14,1900-01-01,9999-12-31 23:59:59,True,4539f668e3a0025801db54d4786f61b0f6d1718e31732cee7aa7ee27b73d19c4,manual_run_1,2026-06-24 00:59:33.548
10873,Dr. Kaique Borges,Outro,1995-12-24,Marques,PR,2023-07-16,d60435811bdd003f6ea3c6bbadec8e4aafccfd4143ee217c860a76dd48b8982d,1900-01-01,9999-12-31 23:59:59,True,0c29cc9d4d15ca6f555735bd9190efb4651c7cdb1ad96bfff0e57132b39087f5,manual_run_1,2026-06-24 00:59:33.548
5925,Liz Macedo,M,1974-05-31,Teixeira de Sá,AL,2024-06-03,38c8178be5b8da0e8aa54834ace85b8c43718dac7834fe03a3c86cddfd78bb8a,1900-01-01,9999-12-31 23:59:59,True,fe3585592227394404cbb1316a383143348e6bc91761500e6065b124c0b1413a,manual_run_1,2026-06-24 00:59:33.548
6903,Ana Cecília Machado,M,2006-08-27,Siqueira de da Cruz,MG,2024-09-07,ffc7dd3d7fd930e299d369b9dba0ed8ac131c9c08798312071c978adea02660e,1900-01-01,9999-12-31 23:59:59,True,66d20029d2b899633a9a721161dc2a60594887d04ab155ded120bd5e5d74169c,manual_run_1,2026-06-24 00:59:33.548
2856,Paulo Almeida,Outro,1997-08-25,Campos,RN,2025-04-17,04ebddba3a94c8b58057d0060a3da42e94e29b9bbde8421e5343a5a9a6b375ef,1900-01-01,9999-12-31 23:59:59,True,6320d3903b199e74646007593adce02f3a1a03a3042bcdd6bb44a281fa881914,manual_run_1,2026-06-24 00:59:33.548
2241,Anthony Gabriel Mendonça,M,1982-08-17,Duarte do Campo,RR,2023-07-20,d347db3589ed847e324c86f52d3ab520ca04a80f52ed5483d35fe75937ce3c0e,1900-01-01,9999-12-31 23:59:59,True,60c9302d771244378bdc6ab876d7b851ce91fd98600c82e96af1b7364ba2dc18,manual_run_1,2026-06-24 00:59:33.548
4241,Joaquim Santos,F,1962-06-12,Lima,CE,2025-11-19,f0723005a1e72a1b4dd1ec6824348ef97c7dc109dafc800f5365c65004f58232,1900-01-01,9999-12-31 23:59:59,True,3f7891ad2bf0c9cfae1b48fd2359e72c853a849d8c5807a3d65c626ec4c97815,manual_run_1,2026-06-24 00:59:33.548
10348,Cauã Marques,F,1975-10-22,Melo,RJ,2025-09-28,63a6b17de0acb92ba8e99c30f51915d03ed671f6ffe627c820b874393a9a205c,1900-01-01,9999-12-31 23:59:59,True,d5ee54ab901338462bbe3baff9b7bf7d46de468f8833e4c591c12eee0e1a7d6f,manual_run_1,2026-06-24 00:59:33.548
14781,Fernando Novais,F,2001-10-10,Machado,TO,2025-12-18,9faae7950d3cbcdb213d14c7ea226573932201d2ab896cb82bd7bfd1eea747f7,1900-01-01,9999-12-31 23:59:59,True,ac958b5aa679131c0260f137194cb724941182290e64debfc67bec820b4e7426,manual_run_1,2026-06-24 00:59:33.548
9867,Gustavo Henrique Sales,M,1969-05-11,Pastor,AC,2026-04-03,55c147ffde667f8763038ea394664754b4317c5939b47e866f156a0b4c1e1909,1900-01-01,9999-12-31 23:59:59,True,c8ba2c8c97498d3fa5ad2b5a68b14d45d83a2accf16868043a722f61cb12b224,manual_run_1,2026-06-24 00:59:33.548
1504,Theodoro da Cunha,F,1995-04-14,Mendonça,CE,2026-06-09,a23c56bc52e47896395552c5d73857c65ad608eb28bc70c4be68233bb9abdaa3,1900-01-01,9999-12-31 23:59:59,True,5239ca8b3ec00e782d507b80b981b970a00178a62aa0a9e13f246ff0345bbf70,manual_run_1,2026-06-24 00:59:33.548
14557,Maria Eduarda Campos,Outro,2004-04-05,Vargas do Norte,SE,2023-09-08,e348953ad57ea918cdf516c666743c93f9734bcd7ed2b5c438689f9babe27f1c,1900-01-01,9999-12-31 23:59:59,True,d4dfc3141cc768e0029b101ea72bf644cd911f3f4c8e5c367742ac3b864ce2a2,manual_run_1,2026-06-24 00:59:33.548
1859,Caio Aparecida,Outro,1962-05-29,Barbosa Grande,AP,2023-12-21,eca4ea5f16e47ed3533f301ce6a6b16f6f0a5aeaae2c226500f05748bb96dcd3,1900-01-01,9999-12-31 23:59:59,True,7d3682d2c5904a1d867b0f149fa0dd945a26b8106d7a6a61e6d2d7df63e08948,manual_run_1,2026-06-24 00:59:33.548
2487,Heloisa da Rocha,F,1976-05-27,Alves,MA,2026-04-06,0c9b2003b6f95cc1861da2650d0c042f2576f55244b07c410402472d8b101d0a,1900-01-01,9999-12-31 23:59:59,True,bcc51cea3f74bff4fc99f3e78a9fd25466bed5c163ef3a87f2bd7a715cdda43e,manual_run_1,2026-06-24 00:59:33.548
13513,Lívia Campos,Outro,1978-01-21,Nogueira de Melo,GO,2025-10-25,082e13b923d5db479f362d42158064974108dd7edb223efe8bc4b4105e34fbc9,1900-01-01,9999-12-31 23:59:59,True,ad0ba99ee17c16b396e483a16174d01874e00e7b7db8c54a68d8b0b345f771e1,manual_run_1,2026-06-24 00:59:33.548
9482,Maria Nascimento,M,1968-11-08,Silva,MT,2026-06-04,414315cded8e086467354cb305495ca7c279ac21d9afc3480be915aed21782b4,1900-01-01,9999-12-31 23:59:59,True,da7dd7579de785ba262453178f3c78487ef5bdeefb6b82b80d72b8f4aa7d5124,manual_run_1,2026-06-24 00:59:33.548
4187,Nicolas Mendonça,M,1972-04-24,Cunha,PE,2023-09-13,ded70f1056a9f4320b66a8df578eb4a2ad24041b34b9e0b21cc5d1e149d5acf6,1900-01-01,9999-12-31 23:59:59,True,a55a9c058bb4ab917715e06259b2c98fdbda782020322e36853f935796b8a4f9,manual_run_1,2026-06-24 00:59:33.548
7140,Sr. Arthur Macedo,M,1982-08-13,Barbosa,ES,2026-04-16,654042f276a9a44d1a7cff4d82c66977b5b6eabbd79d68ec5b57b47b1a5eee22,1900-01-01,9999-12-31 23:59:59,True,428d4059d735c3036b83cd681d5d120e2df1eef3ba424581fbde30afea8c448a,manual_run_1,2026-06-24 00:59:33.548
4948,Sr. Benicio Monteiro,M,1978-12-31,Duarte de Monteiro,GO,2023-05-16,c26a0a767ce0e7edd6da38afc96f3c27440f3bf9a07ad42d751bdd644860f731,1900-01-01,9999-12-31 23:59:59,True,79659839b91352dfa4b1efba8a8959a23760088fbf2dd02dcea12b101c120b2f,manual_run_1,2026-06-24 00:59:33.548
10972,Dra. Ana Liz Brito,Outro,1968-03-04,Fogaça Paulista,RO,2023-09-24,fd3794362d1fa5dc87576fed2d11aeffd227cbf6b06e699dd3d11ec774aa38b5,1900-01-01,9999-12-31 23:59:59,True,6ff0dc0a6adc81c8c75e3e5328b78be064e635cbca5e74a21bf4b8a5164163d0,manual_run_1,2026-06-24 00:59:33.548
9116,Ana Clara Jesus,M,1959-04-27,Brito,RJ,2025-04-20,4e601b8b7f14c2b9c2634c4058be55b6e4f2c34d44a65b523c5b1790cd0bc21e,1900-01-01,9999-12-31 23:59:59,True,f13c361d6355c7186637b311c3a342d6998de8f501fe7c1e43fde18aabd452d8,manual_run_1,2026-06-24 00:59:33.548
6766,Maya da Conceição,F,1984-03-13,Sampaio,AL,2023-03-29,62176e5d42755612168d72c700a713d51ebb533f64e7e935c6549fc3b5d9d912,1900-01-01,9999-12-31 23:59:59,True,dea5ca2166d3cf0821b434bf8fb2ad4c97c9a05bf459420ee06ace6ca60db597,manual_run_1,2026-06-24 00:59:33.548
2701,Laura Barros,M,1998-09-11,Fogaça de Goiás,MT,2025-08-02,b2e894dc4046f8e460f917dfdbd7e4bc33bdf2f76ab9f897d3af6e06b61ea5a4,1900-01-01,9999-12-31 23:59:59,True,9f45da23caf78e73f13dbf6a8683d3e54b412d5928531238f3d501cf99837371,manual_run_1,2026-06-24 00:59:33.548
5758,Maria Flor da Luz,F,1988-03-21,Nunes do Norte,PE,2023-09-04,d4ee253b0bfd5d56c4293914c522f5ea640939fabd5a66947fa55089dc2f1cbe,1900-01-01,9999-12-31 23:59:59,True,4d4792f55fa6c704a87c78aa5f85de85fa56b2d70c204a5679c0314677561d39,manual_run_1,2026-06-24 00:59:33.548
1804,Benicio Sales,Outro,2000-08-08,Campos da Prata,AC,2024-10-08,c5752e49919bba064c32e9e44e5987b49b8f76a8ef041bb2c682e90aa21b8124,1900-01-01,9999-12-31 23:59:59,True,897c14ea3f7506c5f3d39cf86d9ed9a524a2aa4f8a594ccdc386ac58061fcd4b,manual_run_1,2026-06-24 00:59:33.548
1289,Mariane Siqueira,M,1957-10-21,Nunes,AC,2023-01-27,450aa559ac1870d2a289325f7d26643caa89fbcd6a8c2ae441bf60db0828cdfe,1900-01-01,9999-12-31 23:59:59,True,98d6e2424c0ac518986df2a7e0741c2e3a3b8b7321a6ac2a3ce9323af04fdaff,manual_run_1,2026-06-24 00:59:33.548
8033,Srta. Mirella Moreira,F,1952-06-16,Teixeira do Amparo,GO,2026-01-25,eee7fa237f61d7ac17f3e9ce9b758b096409aa6a8f587733c7f39bc65a066e72,1900-01-01,9999-12-31 23:59:59,True,fd25eb6a269b335ac1cd7d804d986021175452a6c72cf35047f44d64f548ab39,manual_run_1,2026-06-24 00:59:33.548
1852,Antonella Sales,Outro,1952-02-26,Gomes,RS,2023-08-08,31262defaea36b2e02e038c46c5e9bd55fac9feff742c962b8c0b38bc9125fb0,1900-01-01,9999-12-31 23:59:59,True,e20a5502a4f5e1913ae9408c4c57ff317f46cd8ed1876a85af04cb1c8d909187,manual_run_1,2026-06-24 00:59:33.548
7947,Hadassa Ferreira,F,1983-05-04,Borges,SP,2024-03-02,b89b72769f2c41722f911d870e03e4240b1e95646582ada3e45d239687225731,1900-01-01,9999-12-31 23:59:59,True,cc03a263f9c70d0562ba64a73968918b3fe4216b74f1d95728e538fd97dd24a9,manual_run_1,2026-06-24 00:59:33.548
14903,Srta. Helena Teixeira,M,1961-07-15,Carvalho,AP,2026-04-03,4a33235d94d29370c2cff3eb725a4500348a009978fc7fd3f3661b470a527c33,1900-01-01,9999-12-31 23:59:59,True,1028a7b58bd030b6132ec3311d36b204d35f67c2a37d8dc36373e0ac6b2ced46,manual_run_1,2026-06-24 00:59:33.548
