id_cliente,nome,email,cpf,telefone,data_nascimento,genero,logradouro,cidade,estado,cep,data_cadastro,updated_at
12,Liz Guerra,da-rosaallana@example.org,657.391.820-77,+55 21 4895 1343,1997-03-23,F,"Área da Cruz, 29",Leão de Pires,RN,67632016,2023-07-18T00:00:00,2025-07-22T00:00:00
13,Felipe Sampaio,jaragao@example.org,172.634.895-46,81 7277-4348,1978-07-20,Outro,"Praia Eduardo Silva, 53",Dias da Prata,PB,22362316,2024-06-25T00:00:00,2024-08-08T00:00:00
14,Luísa Nogueira,dleao@example.org,690.843.571-75,(031) 6688 9373,1966-04-10,F,"Parque Fernandes, 82",Pinto,AP,69901627,2026-01-03T00:00:00,2026-02-03T00:00:00
15,Benicio da Luz,nduarte@example.com,596.237.018-02,71 0531-0033,1999-02-13,Outro,"Feira Cardoso, 41",Sampaio de da Cunha,RN,29912-419,2026-02-04T00:00:00,2026-04-20T00:00:00
16,Leonardo Oliveira,tgoncalves@example.org,139.524.068-05,(084) 8651 8506,1998-02-20,Outro,Núcleo Maria Clara Santos,Lopes,AP,84987769,2025-01-10T00:00:00,2025-07-25T00:00:00
17,Lorenzo da Cruz,da-motamanuella@example.org,765.032.198-30,11 4549 4808,2005-06-06,F,Pátio Mendonça,Sales,AP,77014-363,2023-04-04T00:00:00,2024-07-13T00:00:00
18,Léo Melo,lais85@example.com,748.210.539-50,61 2337-4989,1966-11-09,F,Lago da Conceição,Cavalcanti da Mata,GO,82400842,2024-04-21T00:00:00,2024-08-02T00:00:00
19,Rebeca Caldeira,oliveiraalice@example.com,795.102.384-14,71 7190 2294,1955-05-20,F,"Sítio Teixeira, 49",Machado dos Dourados,CE,96499-091,2025-07-17T00:00:00,2026-06-07T00:00:00
20,Heitor da Luz,castrorhavi@example.org,812.035.496-60,+55 31 4471-3493,1975-02-06,M,"Via Cassiano, 22",Cavalcante,RO,99471-746,2025-01-28T00:00:00,2025-07-28T00:00:00
21,Theodoro Nogueira,fmacedo@example.net,065.429.837-83,+55 81 9027-8742,2008-04-07,Outro,"Residencial de Borges, 75",Duarte do Campo,AP,56746807,2024-06-30T00:00:00,2026-05-30T00:00:00
22,Levi da Cunha,igor68@example.org,876.014.235-90,(031) 0348-2477,1957-06-26,M,"Feira de Santos, 94",Novaes,PI,13171-274,2026-06-01T00:00:00,2026-06-11T00:00:00
23,Júlia Leão,pmelo@example.com,826.145.703-62,84 5840 4499,2008-05-18,F,"Praia Nascimento, 65",Marques Alegre,MG,39636057,2024-05-16T00:00:00,2024-10-30T00:00:00
24,Sra. Maria Isis Ribeiro,mayaandrade@example.org,851.630.942-89,81 2174 5961,1999-11-05,Outro,"Setor de Garcia, 97",Pinto,PI,34316117,2024-07-06T00:00:00,2026-04-22T00:00:00
25,Kaique Alves,duartedaniel@example.com,596.174.320-99,+55 (041) 2196-9379,1958-09-28,F,"Jardim de Marques, 80",Rocha da Prata,TO,17594647,2024-03-25T00:00:00,2026-02-24T00:00:00
26,Gael Henrique Gomes,pcaldeira@example.com,954.820.317-05,0300 097 4395,1963-02-22,M,"Jardim de Rocha, 11",Viana dos Dourados,SE,95214562,2023-04-25T00:00:00,2024-08-06T00:00:00
27,Davi Lucca Viana,sofia84@example.org,479.520.386-56,+55 21 6851-6048,1957-08-11,F,"Viela de da Luz, 265",Melo,AP,98593174,2024-10-08T00:00:00,2025-11-22T00:00:00
28,Maria Luísa Camargo,calebandrade@example.com,718.946.352-64,71 6926-1796,2004-11-27,Outro,"Vila Freitas, 87",Fonseca,MT,58506431,2024-03-08T00:00:00,2025-10-09T00:00:00
29,Ayla Ribeiro,asafearagao@example.com,329.041.567-80,+55 (011) 9042-2842,1956-10-25,F,"Conjunto Albuquerque, 63",Cavalcanti,MG,02681-177,2024-03-11T00:00:00,2026-01-11T00:00:00
30,Sr. Rael Montenegro,caiosiqueira@example.net,847.506.312-80,+55 51 7711 5921,1957-10-05,F,"Trecho de Novaes, 96",Marques do Galho,BA,11836-736,2025-07-28T00:00:00,2025-10-09T00:00:00
31,Dr. Murilo Leão,diasleticia@example.com,452.830.967-00,(021) 1528-0988,1969-07-24,Outro,Morro Lavínia Silveira,da Paz,GO,51983-273,2024-05-20T00:00:00,2025-12-15T00:00:00
32,Luiz Fernando Novais,ian49@example.org,680.452.731-35,(041) 5502 2961,1958-09-02,Outro,"Chácara Souza, 736",Fernandes de Castro,MG,45991-022,2026-04-12T00:00:00,2026-05-09T00:00:00
33,Ana Julia Rocha,da-mataluisa@example.net,678.321.045-62,+55 61 4978 4036,2007-07-17,M,Favela da Rosa,Vargas,PE,44510762,2025-01-11T00:00:00,2025-08-23T00:00:00
34,Mateus Nascimento,melissanovais@example.net,516.790.348-39,+55 11 5969 6641,1973-12-07,M,"Vale Marques, 71",da Cruz,AM,96816-453,2025-10-07T00:00:00,2025-10-30T00:00:00
35,Sr. Breno Moraes,mouranina@example.org,592.106.783-03,0500-212-7799,1976-06-24,M,"Vereda de Pinto, 35",Azevedo de Melo,SE,44905-814,2023-11-10T00:00:00,2025-08-13T00:00:00
36,Milena Andrade,freitasallana@example.org,186.345.097-10,(061) 9782 0715,2007-06-03,M,Via de Cavalcanti,da Cruz,MG,78892-554,2025-05-14T00:00:00,2026-03-15T00:00:00
37,Maria Luísa Vasconcelos,caua51@example.com,186.274.930-22,0800 254 6291,1968-05-25,F,"Loteamento de Cardoso, 916",Almeida da Praia,PE,23573-322,2025-02-20T00:00:00,2025-12-22T00:00:00
38,Juan Viana,montenegrovalentina@example.net,805.641.392-89,+55 (061) 9270-6537,1985-11-09,M,"Praia de da Conceição, 834",Freitas,RO,74688-623,2024-05-29T00:00:00,2025-12-16T00:00:00
39,Cecilia da Cunha,ramosmaria-luisa@example.com,819.207.645-85,(021) 1375-0606,1979-07-24,Outro,"Chácara Evelyn Câmara, 6",Silva,MT,22047-277,2023-08-23T00:00:00,2025-02-19T00:00:00
40,Alana Barros,da-cunhapedro@example.org,896.021.573-21,+55 41 6971-1798,1951-05-25,F,"Feira de Silva, 74",Pimenta,CE,39621-851,2023-08-17T00:00:00,2025-04-09T00:00:00
41,Ísis Montenegro,gomesmaria-isis@example.org,654.802.913-51,+55 51 9520 5852,1998-08-09,Outro,"Vila Maria Luiza Pires, 22",Andrade de da Rocha,SC,03054868,2025-07-18T00:00:00,2025-07-19T00:00:00
42,Isis Andrade,allanafogaca@example.org,541.623.897-64,51 5277 5841,1992-08-12,M,Trevo Luiz Miguel Nogueira,Duarte do Campo,PE,54479627,2024-06-23T00:00:00,2025-11-17T00:00:00
43,Dr. Asafe Siqueira,luara40@example.org,652.014.397-99,+55 (084) 3556 9092,1989-10-29,Outro,"Praia Eduardo Oliveira, 68",Dias Paulista,PE,10278681,2023-08-06T00:00:00,2025-04-08T00:00:00
44,José Pedro Santos,ncunha@example.com,731.908.624-78,+55 31 5518 8442,1991-09-23,M,"Estação de Vieira, 48",Costa,MS,37058957,2026-06-01T00:00:00,2026-06-04T00:00:00
45,Caroline Pimenta,azevedoana-luiza@example.com,786.934.051-01,+55 11 7785 2892,1994-12-22,Outro,"Rodovia Daniel Campos, 324",Duarte,AC,58414384,2023-11-27T00:00:00,2025-06-01T00:00:00
46,Kevin Pimenta,montenegrolucca@example.net,928.546.730-00,+55 (041) 1094 3969,1987-07-04,F,"Setor de da Rocha, 47",da Rosa dos Dourados,AC,02767735,2026-05-11T00:00:00,2026-05-31T00:00:00
47,Cecília Dias,catarina62@example.com,891.273.056-86,+55 51 2104 6963,2006-04-12,F,"Travessa Ana Sophia Correia, 97",Monteiro de das Neves,ES,01687-339,2023-08-18T00:00:00,2025-08-30T00:00:00
48,Sr. Benicio da Paz,ppeixoto@example.net,740.693.182-40,71 5060 9835,1982-07-13,Outro,Rodovia Manuella Teixeira,Pinto do Campo,AP,16558523,2023-04-29T00:00:00,2024-09-03T00:00:00
49,Sophia Guerra,aparecidabreno@example.org,578.149.632-73,+55 (031) 6949-5888,1978-11-08,M,"Recanto Arthur Gabriel Freitas, 71",Vieira do Sul,SP,49930-972,2023-06-25T00:00:00,2026-03-16T00:00:00
50,Maria Helena Casa Grande,beniciooliveira@example.net,130.826.947-13,81 8970 2838,1969-04-18,M,"Rua Fernanda Dias, 97",Nogueira da Praia,RO,97334-843,2025-12-26T00:00:00,2026-01-27T00:00:00
51,João Pedro Santos,marianadias@example.com,584.207.316-17,+55 (011) 4041-5747,1962-11-08,M,"Ladeira de Novais, 22",da Cruz,GO,83301657,2025-08-31T00:00:00,2026-06-08T00:00:00
52,Davi Miguel Abreu,joanarezende@example.com,734.260.958-74,61 0262-0672,2004-10-07,F,"Área Antony da Rosa, 691",Marques da Prata,DF,28743-152,2025-12-16T00:00:00,2026-05-20T00:00:00
53,Sra. Jade Silva,arthursousa@example.com,432.958.671-19,+55 31 6122 7530,1965-07-26,Outro,"Ladeira Bella da Rosa, 590",Sales de Goiás,MA,17426841,2026-01-09T00:00:00,2026-03-01T00:00:00
54,Laís Freitas,pedro-lucascarvalho@example.com,275.384.690-10,+55 51 9187 8519,1956-12-13,Outro,"Rodovia de Costa, 382",Moreira dos Dourados,MS,39718707,2025-03-28T00:00:00,2026-03-06T00:00:00
55,Théo Leão,dnunes@example.net,740.329.158-14,+55 (061) 6518 0170,1967-02-04,F,"Via Siqueira, 75",Garcia de Garcia,AM,82512868,2025-06-16T00:00:00,2026-03-07T00:00:00
56,Henry Gabriel Abreu,da-rosamaria-fernanda@example.net,869.715.340-93,+55 84 3106-9033,1954-05-06,M,"Praia Peixoto, 4",Guerra,MT,38302-843,2024-05-22T00:00:00,2025-01-07T00:00:00
57,Dra. Luiza Oliveira,renan42@example.net,836.270.159-59,84 7056-8566,1959-02-05,Outro,"Setor Melo, 53",Martins,ES,86688263,2023-02-13T00:00:00,2026-06-01T00:00:00
58,Gustavo Farias,machadoester@example.org,830.294.756-38,0900 837 3540,1962-09-23,M,"Condomínio de Souza, 43",da Costa da Prata,AP,46785-445,2026-04-20T00:00:00,2026-05-04T00:00:00
59,Sara Martins,silveiramaria-isis@example.com,358.904.127-79,+55 (031) 4899 6423,1969-07-29,M,"Feira de Monteiro, 854",Marques de Cavalcante,AL,22872-808,2023-05-01T00:00:00,2024-08-11T00:00:00
60,Breno Rios,teixeiraanthony-gabriel@example.com,231.570.698-02,31 0997 7008,1982-06-09,Outro,Rua Silveira,Nascimento da Mata,ES,86211823,2024-11-07T00:00:00,2025-01-18T00:00:00
61,Vinicius da Cunha,vitor61@example.com,673.512.048-53,+55 31 6668 7002,1955-03-28,F,"Via Bianca Nunes, 9",da Conceição,DF,97401489,2024-07-24T00:00:00,2026-06-09T00:00:00
62,Ana Beatriz Cavalcanti,arthur-gabriel39@example.org,614.879.325-37,51 2185 0163,1999-02-01,Outro,"Vale de Peixoto, 15",Viana dos Dourados,RJ,35866-296,2026-01-09T00:00:00,2026-02-11T00:00:00
63,Juan da Cruz,barrosvitor-gabriel@example.org,629.870.431-04,(031) 5412-1267,1982-09-30,M,"Colônia Benjamim Borges, 28",Gomes do Sul,SE,66183-982,2026-03-26T00:00:00,2026-05-25T00:00:00
64,Maria Helena Cavalcante,vitor-gabrielda-rosa@example.com,721.938.564-19,+55 11 5437 9937,1956-08-24,M,"Passarela Farias, 865",Lopes Grande,AM,59375-265,2025-08-26T00:00:00,2026-03-22T00:00:00
65,Samuel Oliveira,ayllagarcia@example.com,651.479.820-94,(061) 3741-6724,1964-06-24,F,"Praça Vieira, 81",Pacheco de Guerra,PA,80589-113,2023-07-18T00:00:00,2025-12-16T00:00:00
66,Maria Cavalcante,nunesisabelly@example.com,610.728.435-44,61 7982 5071,1967-07-30,Outro,Distrito Ferreira,Fernandes dos Dourados,AL,87571775,2025-04-21T00:00:00,2025-12-16T00:00:00
67,Kaique Aparecida,almeidacaroline@example.net,123.496.578-09,(061) 3622-6609,2001-08-30,F,"Praça de Gomes, 4",da Mota,SC,91825537,2023-07-21T00:00:00,2023-11-22T00:00:00
68,João Rios,omoura@example.com,968.402.715-01,(031) 9912 5134,1957-03-23,M,"Distrito de Moraes, 36",Lima da Serra,DF,82827-422,2024-11-25T00:00:00,2025-03-16T00:00:00
69,Dr. Benjamim Fogaça,mendoncajoao-gabriel@example.org,687.359.421-00,(084) 2190-3404,1963-06-26,F,"Quadra Nunes, 98",Oliveira,BA,48580783,2024-01-25T00:00:00,2025-07-27T00:00:00
70,Bella Sousa,ana-ceciliaandrade@example.com,451.307.926-61,0800-629-2330,1983-07-05,F,"Trevo Stephany Cavalcante, 54",Moraes do Campo,PB,60422325,2025-05-14T00:00:00,2025-08-15T00:00:00
71,Matteo Mendonça,vitor-gabrielpires@example.com,671.503.248-35,(051) 7590-1751,1996-08-04,F,"Praça Cunha, 64",Fernandes da Prata,SE,97500170,2024-05-26T00:00:00,2024-08-11T00:00:00
72,Emanuel Macedo,babreu@example.org,249.670.518-20,31 2064 3611,1950-07-04,M,"Conjunto Pastor, 88",Albuquerque,RS,16271-361,2026-02-01T00:00:00,2026-02-26T00:00:00
73,Srta. Bella Dias,ana-clara26@example.org,210.458.367-53,+55 (021) 6973-1121,1984-08-21,M,"Praça Ana Vitória Vieira, 53",da Cruz,SP,04389-836,2026-01-12T00:00:00,2026-01-15T00:00:00
74,Benjamim Viana,mayagomes@example.org,371.402.658-44,0300 658 2710,1984-07-05,F,Favela Bruno Araújo,Montenegro da Mata,PR,66188-924,2024-04-29T00:00:00,2024-10-16T00:00:00
75,Leonardo Barros,leonardonascimento@example.com,614.538.092-60,(021) 1799-0421,1951-03-06,F,"Aeroporto de Castro, 95",Cavalcante da Praia,AL,41056481,2025-09-12T00:00:00,2025-12-30T00:00:00
76,Breno Monteiro,xmoraes@example.org,725.180.439-50,+55 (061) 0307 5622,2004-06-13,M,"Sítio Silva, 63",Leão,MG,41951-802,2023-12-04T00:00:00,2024-12-26T00:00:00
77,Valentim Aparecida,dazevedo@example.com,451.930.267-61,0300 493 7597,2008-04-25,F,"Setor Teixeira, 12",Alves de Goiás,PA,05064-138,2024-06-27T00:00:00,2025-10-05T00:00:00
78,Otto Mendonça,casa-grandealana@example.org,036.528.974-47,21 2619-9062,1964-03-05,Outro,"Passarela Beatriz Dias, 44",Costa,PR,91212775,2026-02-12T00:00:00,2026-05-07T00:00:00
79,Bárbara Nascimento,oliver74@example.com,418.752.036-80,+55 (011) 1356-8044,1998-01-03,F,"Passarela Machado, 283",Caldeira de Vieira,DF,10032365,2023-11-14T00:00:00,2024-05-26T00:00:00
80,Antonella Pacheco,dom01@example.org,721.680.493-78,+55 (041) 9667-0662,1970-12-21,M,"Ladeira Maitê Cassiano, 4",Monteiro das Pedras,SC,01462-638,2023-04-30T00:00:00,2026-05-14T00:00:00
81,Yago Vieira,garciaelisa@example.com,875.462.310-35,+55 (041) 5930 4078,1971-03-05,M,"Esplanada Brito, 53",Teixeira,RJ,96522395,2024-10-04T00:00:00,2024-12-01T00:00:00
82,Dra. Maria Alice Pastor,santosclarice@example.net,923.674.801-50,+55 (051) 1039 3087,1950-06-25,Outro,"Conjunto Fernandes, 15",Casa Grande,CE,18515691,2025-09-03T00:00:00,2026-05-18T00:00:00
83,Dr. Lorenzo Carvalho,luizavieira@example.net,752.846.903-38,41 4422 0969,1952-04-27,M,"Vale Pedro Miguel Porto, 317",Souza de Minas,CE,55215704,2023-04-27T00:00:00,2026-03-02T00:00:00
84,Josué Sales,ferreiratheo@example.org,096.357.142-70,41 5861 7932,1976-08-13,Outro,"Lago Almeida, 24",Fernandes,ES,62181599,2023-05-21T00:00:00,2023-10-07T00:00:00
85,Ana Lopes,luaracastro@example.org,153.974.286-55,(031) 3106 9872,1953-08-08,Outro,Chácara Ana Beatriz Ribeiro,Costa de Brito,ES,32417146,2025-04-06T00:00:00,2025-06-06T00:00:00
86,Rebeca Ribeiro,fernando86@example.org,569.130.287-68,+55 71 3490-2115,1997-04-26,Outro,"Fazenda de Novaes, 7",Nascimento do Amparo,AP,74160898,2026-03-31T00:00:00,2026-04-05T00:00:00
87,Clara Campos,kcavalcanti@example.org,320.976.185-02,0300-451-1686,1982-06-18,Outro,"Rua Maria Cecília Albuquerque, 798",Leão,RJ,29991191,2025-05-08T00:00:00,2026-04-09T00:00:00
88,Vitor Gabriel Ferreira,yda-luz@example.net,790.123.654-06,+55 (051) 6530 7450,1970-01-14,F,"Lagoa Alana Mendonça, 4",da Rosa,DF,54691-373,2025-12-06T00:00:00,2026-02-24T00:00:00
89,Raquel Teixeira,daniel82@example.org,486.195.032-51,+55 (081) 0307-0534,1971-10-22,F,"Passarela de Porto, 1",Freitas,MG,97279-855,2024-10-05T00:00:00,2025-06-06T00:00:00
90,José Pedro Souza,da-pazbenjamin@example.com,023.615.478-80,31 0072-2903,1965-01-29,Outro,"Via Yan Lima, 85",Cunha dos Dourados,MA,89691-085,2023-09-26T00:00:00,2025-08-13T00:00:00
91,Larissa da Rosa,mendesdavi-lucas@example.com,459.286.107-85,+55 (081) 9652 0744,2003-01-16,M,"Área Mateus Fernandes, 88",Montenegro da Mata,AC,82417248,2025-07-25T00:00:00,2026-01-02T00:00:00
92,Lucas Gabriel Rezende,camaradaniela@example.org,465.289.710-30,(071) 0999-1738,1957-05-23,Outro,"Rua Ana Cecília Jesus, 3",Costa,AM,69725-217,2025-07-27T00:00:00,2026-06-10T00:00:00
93,Sr. Levi Porto,abreumarcela@example.com,328.901.674-96,71 6760 0835,2005-07-19,M,"Estrada de Almeida, 4",Sales,PE,42168-942,2023-05-31T00:00:00,2026-06-05T00:00:00
94,Augusto da Rosa,maria-alice89@example.net,562.738.109-40,+55 (031) 3323 0982,1957-08-02,F,"Área de Garcia, 18",Ribeiro,AP,00167618,2024-06-27T00:00:00,2024-11-09T00:00:00
95,Renan Sampaio,noahsales@example.net,046.598.237-92,84 1891 4117,1961-12-18,F,"Rua Nathan Fogaça, 34",Novaes,CE,37530-011,2024-05-15T00:00:00,2025-05-28T00:00:00
96,Sabrina Cassiano,vasconcelosnina@example.org,143.725.608-26,+55 (051) 0455-6110,1951-01-01,Outro,"Via de Cavalcante, 85",Siqueira de Minas,MA,52166-746,2025-06-16T00:00:00,2026-03-21T00:00:00
97,Sra. Mariah Rezende,henry-gabrielcardoso@example.net,021.346.597-34,11 9027 7167,1953-02-08,Outro,"Largo de Albuquerque, 499",Moreira do Galho,AC,63756289,2026-06-06T00:00:00,2026-06-11T00:00:00
98,Anthony Ramos,mirellamelo@example.com,217.986.403-50,81 6631-7797,1955-07-19,Outro,"Largo Isaac Monteiro, 2",Jesus do Norte,AM,19948837,2026-02-09T00:00:00,2026-03-19T00:00:00
99,Dr. Benjamim Câmara,jfarias@example.net,975.830.426-74,+55 (011) 5548 8510,2002-06-18,M,"Pátio Caldeira, 49",Campos,AM,37351-609,2023-10-03T00:00:00,2024-06-29T00:00:00
100,Rael Marques,melinaabreu@example.net,086.743.129-69,+55 81 1699 5866,2007-04-03,F,"Ladeira Gonçalves, 84",Carvalho,MA,98485-833,2026-02-07T00:00:00,2026-02-26T00:00:00
101,João Vitor Rodrigues,joao28@example.net,519.436.728-73,(011) 0810-6200,1962-01-13,Outro,"Lago Rodrigues, 12",Costela da Prata,MT,57198386,2026-05-23T00:00:00,2026-05-29T00:00:00
102,Thomas Viana,calebe66@example.com,580.792.143-79,+55 21 5989-3347,1960-09-24,Outro,"Estação Cavalcanti, 116",da Mota da Prata,GO,22940-572,2024-02-21T00:00:00,2026-01-24T00:00:00
103,Eduardo Duarte,vasconcelosana-julia@example.com,985.072.164-20,21 2688-6153,2001-09-05,F,"Loteamento Eloah da Rocha, 99",Novais de Sá,AL,15739930,2025-11-01T00:00:00,2026-03-06T00:00:00
104,Luna Garcia,gomestheo@example.net,405.963.781-57,+55 (071) 5811-2880,1986-10-21,F,"Vereda de Vasconcelos, 26",Nascimento,AL,12075-011,2023-07-09T00:00:00,2025-11-22T00:00:00
105,Felipe Vieira,diego93@example.com,697.538.201-86,+55 71 8091 9015,2004-04-08,M,Viela Ana Julia Pereira,da Paz,RS,66072-832,2023-01-08T00:00:00,2024-11-21T00:00:00
106,Sra. Ísis da Rocha,ana-ceciliarocha@example.net,502.869.374-92,(041) 3536 8222,1963-04-01,Outro,"Estrada Ian Cirino, 808",da Rocha,PB,41397552,2024-06-20T00:00:00,2024-12-02T00:00:00
107,Isabela Brito,davi-miguel35@example.com,754.891.263-37,+55 (041) 0533-6452,1989-11-09,Outro,"Quadra Maitê Fogaça, 97",Cavalcanti,AC,42834110,2026-02-03T00:00:00,2026-05-23T00:00:00
108,Ana Pacheco,lvargas@example.org,084.763.152-44,+55 21 9427-8816,1971-07-19,Outro,Feira de Pimenta,Sá,BA,72299275,2023-08-18T00:00:00,2024-01-19T00:00:00
109,Henry Teixeira,eda-conceicao@example.com,530.914.268-15,(051) 0051-8449,1982-01-06,F,"Via Gabriela Fonseca, 518",Câmara do Galho,RJ,55779-082,2026-01-22T00:00:00,2026-01-31T00:00:00
110,Eloah da Conceição,moraesalana@example.org,298.740.136-13,+55 61 7773 9260,1964-07-29,F,"Trecho de Castro, 18",Araújo,BA,42869904,2026-02-05T00:00:00,2026-02-23T00:00:00
111,Henrique Machado,kmendes@example.org,628.459.701-02,(051) 9913-6621,1951-05-27,F,"Viela de Leão, 29",Melo,SE,88117298,2023-03-27T00:00:00,2024-12-17T00:00:00
112,Pedro Moreira,cfreitas@example.net,863.975.240-00,(011) 2473-1498,1974-02-22,M,"Aeroporto Oliveira, 118",Rezende do Oeste,RO,65126-944,2023-03-23T00:00:00,2025-03-24T00:00:00
113,Mariana Nunes,yuri63@example.com,897.124.365-19,0500 562 1372,1956-04-04,M,"Loteamento Ísis Pimenta, 3",Porto do Sul,MS,27961143,2024-05-26T00:00:00,2026-04-08T00:00:00
114,Sr. Arthur Miguel Silveira,nguerra@example.net,840.613.972-22,41 4309-8839,1960-04-09,F,Feira Alexandre Castro,da Mota,RN,56693-801,2026-02-20T00:00:00,2026-06-11T00:00:00
115,Yan da Paz,cecilia43@example.net,376.402.195-07,84 1845-1848,1997-08-09,M,"Vila Luísa Garcia, 673",Rodrigues de Marques,SE,71416335,2023-11-13T00:00:00,2024-07-12T00:00:00
116,Maria Moreira,sampaiovinicius@example.org,416.572.093-34,(071) 5539-4237,1993-03-12,M,"Feira de da Luz, 43",Pinto,CE,21117-908,2023-12-29T00:00:00,2025-02-23T00:00:00
117,Rodrigo Freitas,marina94@example.com,284.317.506-26,(081) 8085-6271,1990-12-10,Outro,"Vila Antony Albuquerque, 26",Fonseca Paulista,SC,84347955,2024-11-11T00:00:00,2026-01-06T00:00:00
118,Theo Lima,larissasampaio@example.com,564.317.920-25,+55 41 4386 6322,1977-11-16,M,Pátio Monteiro,Pires,SE,74489-061,2024-05-23T00:00:00,2025-02-20T00:00:00
119,Srta. Ana Liz Cunha,maria-laura17@example.net,549.287.610-49,81 1593 9982,2007-04-01,M,"Largo Nina Mendonça, 71",Martins Grande,PR,56996112,2023-08-10T00:00:00,2025-10-01T00:00:00
120,Sr. Levi Dias,vitor96@example.com,759.318.062-02,+55 61 1326-1117,1982-04-02,F,Rua Enzo Caldeira,Pinto Grande,MS,64334722,2024-03-31T00:00:00,2024-10-21T00:00:00
121,Eloá Alves,ribeiroeduarda@example.com,794.831.625-64,0300 688 4578,1963-08-13,M,Lagoa Emanuelly Jesus,Cassiano da Mata,AC,08254780,2024-09-17T00:00:00,2025-05-08T00:00:00
122,Sra. Pietra da Rosa,vargaslorena@example.com,930.421.856-05,61 3266 3416,1986-09-17,F,"Vila de Rodrigues, 94",Jesus do Oeste,GO,22417974,2024-01-31T00:00:00,2025-03-14T00:00:00
123,Dra. Rebeca Correia,arthur-miguel20@example.net,021.867.359-03,+55 31 1207-3564,1996-01-06,F,"Quadra Benício Farias, 3",da Mata,RS,18723-460,2023-05-23T00:00:00,2024-12-14T00:00:00
124,Josué Gomes,vda-cruz@example.org,371.458.962-73,(061) 2088 1474,1961-12-19,Outro,Favela de Camargo,Porto,TO,50249-163,2025-11-09T00:00:00,2026-02-19T00:00:00
125,Asafe Pacheco,msales@example.org,513.870.294-79,+55 (081) 5281 2735,2007-05-19,M,"Morro de Macedo, 70",Silveira Grande,AM,07784-873,2026-01-03T00:00:00,2026-03-28T00:00:00
126,Ester Nogueira,ayla74@example.net,821.473.956-09,(051) 0862-0959,1964-04-16,Outro,"Viaduto Nascimento, 93",Vargas de Novaes,GO,94565118,2024-06-18T00:00:00,2024-12-17T00:00:00
127,Ana Lívia Aparecida,luiz-henriqueandrade@example.org,173.064.829-04,51 9940 5391,1951-03-15,Outro,"Residencial de Barros, 60",Freitas do Norte,PA,80141-381,2023-03-20T00:00:00,2023-10-28T00:00:00
128,Igor Nascimento,mcorreia@example.net,326.504.891-89,(011) 1228-6852,1981-05-29,F,"Morro Ana Vitória Novaes, 75",Silveira Alegre,RN,98368457,2024-12-08T00:00:00,2025-10-25T00:00:00
129,Maria Laura Abreu,da-pazarthur-gabriel@example.net,240.915.678-94,81 8899-2107,1971-01-26,F,"Núcleo Theo da Conceição, 24",Nunes do Oeste,RJ,57279194,2025-11-13T00:00:00,2025-12-12T00:00:00
130,Mateus Barros,vargasbruna@example.com,691.874.025-30,+55 (071) 4805 8925,1979-08-01,M,"Avenida Rocha, 97",Câmara,RR,46225-179,2024-01-25T00:00:00,2024-10-11T00:00:00
